func,iter,xcen,ycen,depth,radius,dP_mu
2.029425e+01,12,4.2622332e+05,4.5186128e+06,3.9477625e+03,9.1065690e+02,5.0026728e-03
2.029428e+01,18,4.2622599e+05,4.5186757e+06,3.8650044e+03,9.2396423e+02,4.7460299e-03
2.029457e+01,19,4.2620353e+05,4.5186678e+06,3.8704419e+03,9.1777655e+02,4.7728829e-03
2.029461e+01,19,4.2625353e+05,4.5186878e+06,3.8725554e+03,8.9583394e+02,5.1367185e-03
2.029463e+01,18,4.2626424e+05,4.5186778e+06,3.8791623e+03,9.2153481e+02,4.7476425e-03
2.029586e+01,18,4.2623660e+05,4.5186489e+06,4.0126668e+03,9.6480175e+02,4.3407921e-03
2.029643e+01,19,4.2619880e+05,4.5186557e+06,3.9136266e+03,9.6876918e+02,4.1798117e-03
2.029644e+01,14,4.2627805e+05,4.5186486e+06,3.9397661e+03,8.4654060e+02,6.3309033e-03
2.029653e+01,18,4.2621877e+05,4.5186188e+06,3.8997202e+03,9.6347578e+02,4.2000118e-03
2.029674e+01,17,4.2624130e+05,4.5186951e+06,3.9074974e+03,9.0494662e+02,5.0860322e-03
2.029681e+01,19,4.2623840e+05,4.5186235e+06,4.0208913e+03,9.6530044e+02,4.3631805e-03
2.029716e+01,18,4.2623718e+05,4.5186529e+06,3.8560976e+03,9.6288138e+02,4.1947737e-03
2.029727e+01,19,4.2625201e+05,4.5186573e+06,3.8458608e+03,9.1977496e+02,4.7203005e-03
2.029777e+01,19,4.2623433e+05,4.5186375e+06,4.0143073e+03,9.6988518e+02,4.3325750e-03
2.029784e+01,17,4.2625067e+05,4.5186172e+06,3.9149174e+03,9.0150921e+02,5.1700756e-03
2.029798e+01,16,4.2622589e+05,4.5186785e+06,3.8780913e+03,9.2509773e+02,4.7567366e-03
2.029800e+01,19,4.2626828e+05,4.5186696e+06,3.9016143e+03,9.0041654e+02,5.1988813e-03
2.029803e+01,18,4.2626881e+05,4.5186595e+06,3.9255098e+03,9.4464426e+02,4.5518803e-03
2.029850e+01,19,4.2623034e+05,4.5186386e+06,3.8687200e+03,1.0824667e+03,2.9686497e-03
2.029907e+01,17,4.2622623e+05,4.5186364e+06,3.9014142e+03,1.0413187e+03,3.3154647e-03
2.029929e+01,17,4.2620083e+05,4.5186717e+06,3.8921149e+03,9.3060163e+02,4.6561404e-03
