xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2617928e+05,4.5188684e+06,2.6326062e+03,2.0989261e+03,1.5260262e-03,5.7365583e+01,2.2411700e+01
4.2618355e+05,4.5188674e+06,2.7120297e+03,2.1146450e+03,1.5371864e-03,6.0186514e+01,2.1647775e+01
4.2624609e+05,4.5189170e+06,2.6739260e+03,2.0791259e+03,1.5876674e-03,6.1300166e+01,2.2812270e+01
4.2624426e+05,4.5188959e+06,2.6881524e+03,2.0864304e+03,1.5797750e-03,6.3064174e+01,2.2851091e+01
4.2617496e+05,4.5188844e+06,2.7179661e+03,2.1116906e+03,1.5560584e-03,5.9311304e+01,2.1315354e+01
4.2623926e+05,4.5188640e+06,2.6697556e+03,2.0940704e+03,1.5502703e-03,6.4170557e+01,2.2890590e+01
4.2624337e+05,4.5188855e+06,2.6774042e+03,2.0888364e+03,1.5746899e-03,6.3874948e+01,2.2589190e+01
4.2618097e+05,4.5188743e+06,2.6611557e+03,2.1027476e+03,1.5348181e-03,5.9087325e+01,2.2265737e+01
4.2618495e+05,4.5188858e+06,2.6764317e+03,2.1076068e+03,1.5255419e-03,5.9542269e+01,2.2037952e+01
4.2624193e+05,4.5189075e+06,2.6741202e+03,2.0825848e+03,1.5791565e-03,6.0637364e+01,2.2754273e+01
4.2616041e+05,4.5188712e+06,2.7097088e+03,2.1160254e+03,1.5423550e-03,5.8313671e+01,2.1323047e+01
4.2616367e+05,4.5188716e+06,2.7129420e+03,2.1164694e+03,1.5422110e-03,5.8298808e+01,2.1277948e+01
4.2620924e+05,4.5189051e+06,2.6429306e+03,2.0905343e+03,1.5409384e-03,6.0233080e+01,2.2743434e+01
4.2619352e+05,4.5189024e+06,2.6800323e+03,2.0978652e+03,1.5514228e-03,5.9025536e+01,2.2187512e+01
4.2619264e+05,4.5188801e+06,2.7041542e+03,2.1062188e+03,1.5529010e-03,6.0162820e+01,2.1835659e+01
4.2619529e+05,4.5188887e+06,2.7009624e+03,2.1045856e+03,1.5524010e-03,6.0274313e+01,2.1868978e+01
4.2613921e+05,4.5188367e+06,2.6359828e+03,2.1148489e+03,1.5046167e-03,5.5297403e+01,2.1711603e+01
