xtlc,ytlc,dtlc,length,opening
4.2505963e+05,4.5195106e+06,3.6025167e+03,2.3068674e+03,1.5471546e+00
4.2496023e+05,4.5195462e+06,3.6029681e+03,2.4616998e+03,1.4675965e+00
4.2498688e+05,4.5195294e+06,3.5994865e+03,2.4162723e+03,1.4868417e+00
4.2497074e+05,4.5195558e+06,3.6156480e+03,2.4336781e+03,1.4821933e+00
4.2501695e+05,4.5195459e+06,3.6036113e+03,2.3674684e+03,1.5152203e+00
4.2501781e+05,4.5195236e+06,3.5702620e+03,2.2883718e+03,1.5450688e+00
4.2503972e+05,4.5195347e+06,3.5888921e+03,2.3064184e+03,1.5336443e+00
4.2500453e+05,4.5195240e+06,3.6132028e+03,2.3975186e+03,1.5019401e+00
4.2504470e+05,4.5195185e+06,3.5962620e+03,2.2969973e+03,1.5525855e+00
4.2504629e+05,4.5195136e+06,3.6188899e+03,2.2930792e+03,1.5522281e+00
4.2503505e+05,4.5195273e+06,3.6031680e+03,2.3206795e+03,1.5374311e+00
4.2499825e+05,4.5195360e+06,3.5874701e+03,2.3893105e+03,1.4994634e+00
4.2500797e+05,4.5195289e+06,3.6045850e+03,2.3910186e+03,1.4990677e+00
4.2497943e+05,4.5195506e+06,3.6117249e+03,2.4178804e+03,1.4898030e+00
4.2502336e+05,4.5195393e+06,3.5968880e+03,2.3469588e+03,1.5253189e+00
4.2504113e+05,4.5195168e+06,3.5840370e+03,2.2820772e+03,1.5499279e+00
4.2508751e+05,4.5195316e+06,3.5773821e+03,2.1980714e+03,1.5996002e+00
4.2504214e+05,4.5195200e+06,3.5947595e+03,2.3122935e+03,1.5432198e+00
4.2508178e+05,4.5195109e+06,3.5920503e+03,2.2117918e+03,1.6080777e+00
4.2503087e+05,4.5195195e+06,3.6147659e+03,2.3316197e+03,1.5329916e+00
4.2503469e+05,4.5195502e+06,3.6006682e+03,2.3199905e+03,1.5411688e+00
4.2503461e+05,4.5195301e+06,3.5896207e+03,2.3170841e+03,1.5405345e+00
4.2503363e+05,4.5195273e+06,3.5992195e+03,2.3303509e+03,1.5342914e+00
4.2498664e+05,4.5195431e+06,3.6050363e+03,2.4027399e+03,1.4968635e+00
4.2508874e+05,4.5195495e+06,3.6088220e+03,2.2240654e+03,1.5957234e+00
4.2506761e+05,4.5195376e+06,3.6011565e+03,2.2585198e+03,1.5720727e+00
4.2507064e+05,4.5195325e+06,3.5836540e+03,2.2384351e+03,1.5788803e+00
4.2503281e+05,4.5195113e+06,3.6031162e+03,2.3321504e+03,1.5380607e+00
4.2510735e+05,4.5195059e+06,3.6125086e+03,2.1706335e+03,1.6396222e+00
4.2505467e+05,4.5195188e+06,3.6010953e+03,2.2676911e+03,1.5617562e+00
4.2506730e+05,4.5195595e+06,3.6062310e+03,2.2504141e+03,1.5817924e+00
4.2509463e+05,4.5195211e+06,3.6010415e+03,2.1945312e+03,1.6248507e+00
4.2506128e+05,4.5195082e+06,3.5970010e+03,2.2786630e+03,1.5654196e+00
4.2497923e+05,4.5195424e+06,3.6072432e+03,2.4170280e+03,1.4897117e+00
4.2510300e+05,4.5195402e+06,3.6097061e+03,2.1970495e+03,1.6186809e+00
4.2505071e+05,4.5195252e+06,3.6261145e+03,2.3093870e+03,1.5512919e+00
4.2505540e+05,4.5195262e+06,3.5905515e+03,2.2678702e+03,1.5666821e+00
4.2501191e+05,4.5195103e+06,3.6056866e+03,2.3713951e+03,1.5178008e+00
4.2509784e+05,4.5195203e+06,3.6065621e+03,2.1754901e+03,1.6361249e+00
4.2505639e+05,4.5195251e+06,3.6059859e+03,2.2528584e+03,1.5787663e+00
4.2507660e+05,4.5195381e+06,3.5986368e+03,2.1974098e+03,1.6215948e+00
4.2514369e+05,4.5195102e+06,3.6104335e+03,2.1018129e+03,1.6946298e+00
4.2506788e+05,4.5195216e+06,3.5905608e+03,2.2580916e+03,1.5825136e+00
4.2501942e+05,4.5195362e+06,3.6042827e+03,2.3386177e+03,1.5364321e+00
4.2509736e+05,4.5195378e+06,3.6061316e+03,2.2058519e+03,1.6133125e+00
4.2505728e+05,4.5195299e+06,3.6413455e+03,2.3313238e+03,1.5431358e+00
4.2509838e+05,4.5195316e+06,3.6024472e+03,2.1897052e+03,1.6205497e+00
4.2506653e+05,4.5195135e+06,3.6069235e+03,2.2549248e+03,1.5927432e+00
4.2507659e+05,4.5195290e+06,3.6064467e+03,2.2184905e+03,1.6090377e+00
4.2512298e+05,4.5194930e+06,3.6183812e+03,2.1363355e+03,1.6847908e+00
4.2508078e+05,4.5195352e+06,3.6050265e+03,2.1867503e+03,1.6316938e+00
4.2512752e+05,4.5195052e+06,3.6163718e+03,2.1216534e+03,1.6901717e+00
4.2507642e+05,4.5195259e+06,3.5989599e+03,2.2403133e+03,1.5953780e+00
4.2502213e+05,4.5195380e+06,3.6138404e+03,2.3262394e+03,1.5457368e+00
4.2510622e+05,4.5195265e+06,3.6068096e+03,2.1861716e+03,1.6304231e+00
